id,桶(bucket),问题(query),期望章节(expect_section),标准要点(expect_points),应拒答(should_refuse)
A1,A_policy,退货政策是什么样的,退货政策,7 天无理由 | 不影响二次销售,否
A2,A_policy,怎么申请退款,如何申请退款,我的订单 | 原路退回,否
A3,A_policy,换货流程怎么走,换货流程,7 天内 | 补发新品,否
A4,A_policy,现货商品下单后多久发货,发货时效,48 小时内,否
A5,A_policy,"满多少钱包邮,不满怎么收运费",运费怎么算,满 99 元包邮 | 10 元运费,否
A6,A_policy,"发票怎么开,多久能收到",发票,申请开票 | 3 个工作日,否
A7,A_policy,"无理由退货的适用范围是什么,哪些商品不能退",适用范围,7 天 | 定制类、生鲜类,否
A8,A_policy,"退款审核通过后多久能到账,退到哪里",退款时效,原路退回,否
A9,A_policy,"商品保修期是多久,人为损坏还能保修吗",保修说明,12 个月 | 人为损坏不在保修,否
A10,A_policy,售后各类问题的首次响应时间和处理时限分别是多少,处理时限,退款 | 3 个工作日,否
A11,A_policy,下单支持哪些支付方式,支付方式,支付宝 | 微信 | 银行,否
A12,A_policy,"会员分几个等级,积分是怎么算的",会员等级,银卡 | 金卡 | 100 积分抵 1 元,否
A13,A_policy,"优惠券怎么用,一单能用几张",优惠券,结算页 | 一张店铺券,否
A14,A_policy,"配送范围有哪些,偏远地区运费怎么算",配送范围,偏远地区运费另计 | 港澳台及海外暂不支持,否
A15,A_policy,订单可以修改或取消吗,订单可以修改或取消,未发货 | 拒收,否
A16,A_policy,换货的运费由谁承担,换货运费,买家承担 | 平台承担,否
A17,A_policy,商品运输途中破损了怎么处理,运输破损,48 小时内 | 开箱视频,否
A18,A_policy,"价格保护怎么申请,多少天内有效",价格保护,7 天内 | 差价,否
A19,A_policy,智能设备第一次用怎么安装激活,设备安装,App | 2.4G Wi-Fi,否
A20,A_policy,"人工客服在哪里找,服务时间是几点到几点",人工客服,联系客服 | 9:00 至 22:00,否
A21,A_policy,"喵金等级要年消费多少钱,有什么生日礼",会员等级,5000 元起 | 猫罐头礼盒,否
A22,A_policy,"喵银会员能打几折,年消费门槛多少",会员等级,1000 元起 | 95 折,否
A23,A_policy,"新疆西藏内蒙的运费是多少,能参与包邮吗",运费与包邮 | 配送范围,偏远地区,否
